line,source_file,bucket,destination,reason,utterance
26,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How many times does 12 go into 144?
27,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,What’s the remainder when you divide 345 by 23?
28,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How much is 789 minus 456?
29,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the result of multiplying 78 by 56?
30,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If you have 300 and divide it by 25, what’s the quotient?"
31,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How do you calculate the difference between 560 and 345?
32,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,"What is the sum of 98, 134, and 201?"
33,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How much is 234 plus 167?
34,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"What’s the result of dividing 1,000 by 40?"
35,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If you subtract 299 from 450, what’s left?"
36,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How do you multiply 15 by 35?
37,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you solve the equation 2x + 5 = 17?
38,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the value of x in 4x - 7 = 9?
39,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If y = 3x + 4, what is y when x = 5?"
40,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you factor x^2 - 9x + 14?
41,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the solution to 5x + 12 = 37?
42,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,Solve for x in the equation 3x^2 - 2x - 8 = 0
43,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If x + y = 15 and 2x - y = 7, what are x and y?"
44,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you simplify the expression 2(x - 3) + 4x?
45,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the value of x in \frac{3}{x} + 2 = 7?
46,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,Solve the inequality 3x + 2 > 11
47,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the slope of the line y = 4x - 3?
48,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you solve for x in the equation \frac{x - 5}{2} = 6?
49,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If y = x^2 - 4x + 6, what is y when x = 3?"
50,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the value of x in 7x + 9 = 30?
51,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you factor x^2 - 6x - 7?
52,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,Solve for x in the equation 2x + 3 = x - 5
53,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If 2x + 4 = 3x - 1, what is the value of x?"
54,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the quadratic formula for solving ax^2 + bx + c = 0?
55,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you simplify (3x + 2) - (2x - 5)?
56,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What are the roots of the equation x^2 - 8x + 15 = 0?
57,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you solve the equation two times x plus five equals seventeen?”
58,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the value of x in the equation four times x minus seven equals nine?”
59,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If y equals three times x plus four, what is y when x is five?”"
60,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you factor the expression x squared minus nine x plus fourteen?”
61,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the solution to the equation five times x plus twelve equals thirty-seven?”
62,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,Solve for x in the equation three times x squared minus two times x minus eight equals zero.”
63,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If x plus y equals fifteen and two times x minus y equals seven, what are the values of x and y?”"
64,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you simplify the expression two times the quantity x minus three plus four times x?”
65,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the value of x in the equation three divided by x plus two equals seven?”
66,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,Solve the inequality three times x plus two is greater than eleven.”
67,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the slope of the line described by y equals four times x minus three?”
68,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you solve for x in the equation x minus five divided by two equals six?”
69,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If y equals x squared minus four times x plus six, what is y when x is three?”"
70,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the value of x in the equation seven times x plus nine equals thirty?”
71,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you factor the expression x squared minus six times x minus seven?”
72,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,Solve for x in the equation two times x plus three equals x minus five.”
73,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If two times x plus four equals three times x minus one, what is the value of x?”"
74,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the quadratic formula for solving an equation in the form a times x squared plus b times x plus c equals zero?”
75,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you simplify the expression three times x plus two minus two times x minus five?”
76,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What are the roots of the equation x squared minus eight times x plus fifteen equals zero?”
77,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the area of a circle with a radius of 7 cm?
78,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the perimeter of a rectangle with a length of 10 cm and a width of 5 cm?
79,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the volume of a cylinder with a radius of 4 cm and a height of 10 cm?
80,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the area of a triangle with a base of 6 cm and a height of 8 cm?
81,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the circumference of a circle with a diameter of 12 inches?
82,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If a triangle has sides of 3 cm, 4 cm, and 5 cm, is it a right triangle?"
83,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the surface area of a cube with a side length of 6 cm?
84,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the area of a parallelogram with a base of 9 cm and a height of 5 cm?
85,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the measure of each interior angle of a regular pentagon?
86,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If two angles in a triangle are 45° and 55°, what is the third angle?"
87,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the length of the hypotenuse in a right triangle with legs of 8 cm and 15 cm?
88,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"What is the area of a trapezoid with bases of 5 cm and 7 cm, and a height of 4 cm?"
89,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the diagonal of a square with side lengths of 10 cm?
90,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the volume of a sphere with a radius of 3 cm?
91,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If the sum of the angles in a quadrilateral is 360°, what is the missing angle if the other three are 80°, 100°, and 120°?"
92,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the length of an arc in a circle with a radius of 10 cm and a central angle of 60°?
93,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the perimeter of an equilateral triangle with side lengths of 8 cm?
94,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If a rectangle’s diagonal is 13 cm and one side is 5 cm, what is the length of the other side?"
95,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the radius of a circle if its area is 50.24 square cm?
96,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the sum of the interior angles of an octagon?
97,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the sine of a 45 degree angle?
98,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the cosine of 60 degrees?
99,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the tangent of a 30 degrees angle?
100,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"What’s the relationship between sine, cosine, and tangent in a right-angled triangle?"
101,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you use the Pythagorean theorem to find the hypotenuse in a right triangle where the legs are 5 and 12?
102,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the value of sign 90 degrees - theta in terms of theta?
103,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the angle of elevation if the opposite side is 8 meters and the adjacent side is 15 meters?
104,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the exact value of tangent of 45 degrees?
105,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the angle theta in a right triangle where the opposite side is 7 and the hypotenuse is 25?
106,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the period of the sine function y = sign x?
107,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you use the unit circle to find the values of sign 30 degrees and cosine 30 degrees?
108,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the amplitude of the function y = 3 sign x?
109,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If the angle of depression is 35 degrees and the horizontal distance is 50 meters, how do you calculate the height?"
110,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you solve the equation 2 sign x = 1 for x?
111,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the value of cosine 180 degrees?
112,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the exact value of tan 60 degrees using a 30-60-90 triangle?
113,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If tan theta = 1, what is the value of theta in degrees?"
114,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the length of the opposite side in a right triangle if the angle is 25 degrees and the adjacent side is 10 meters?
115,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the derivative of f of x = 3x squared + 5x - 7?
116,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the integral of cosine x?
117,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you compute the derivative of f of x = eto the x power?
118,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the critical points of the function f of x = x cubed - 3x squared + 2?
119,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the second derivative of f of x = 4x cubed - 2x squared + x?
120,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you calculate the area under the curve f of x = x squared + 1 from x = 0 to x = 3?
121,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"What is the chain rule, and how do you apply it to f of x = sign 3x?"
122,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the local maximum of f of x = -x squared + 4x + 1?
123,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the integral of f of x = x cubed?
124,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the slope of the tangent line to the curve y = x squared + 2x at x = 1?
125,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"How do you find the derivative of a product of two functions, say f of x = (2x + 1)(x squared + 3x?"
126,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you use the Mean Value Theorem to find a point where the derivative equals the average rate of change?
127,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the integral of sign squared(x) using a trigonometric identity?
128,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the derivative of the function f of x equals three times x squared plus five times x minus seven?
129,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the integral of cosine of x?
130,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the limit of one divided by x as x approaches infinity?
131,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you compute the derivative of the function f of x equals e raised to the power of x?
132,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"What is the definite integral of the function three times x squared plus one, evaluated from zero to two?"
133,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the critical points of the function f of x equals x cubed minus three times x squared plus two?
134,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the second derivative of the function f of x equals four times x cubed minus two times x squared plus x?
135,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you apply L'Hopital’s Rule to evaluate the limit of sine of x divided by x as x approaches zero?
136,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the antiderivative of the function f of x equals one divided by x?
137,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"How do you calculate the area under the curve for the function f of x equals x squared plus one, from x equals zero to x equals three?"
138,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"What is the chain rule, and how do you apply it to the function f of x equals sine of three times x?"
139,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the derivative of the function f of x equals the natural logarithm of x?
140,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the local maximum of the function f of x equals negative x squared plus four times x plus one?
141,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the integral of the function f of x equals x cubed?
142,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you solve the differential equation where the derivative of y with respect to x equals y?
143,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the slope of the tangent line to the curve y equals x squared plus two times x at x equals one?
144,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"How do you find the derivative of a product of two functions, such as f of x equals the quantity two times x plus one times the quantity x squared plus three times x?"
145,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the limit of e raised to the power of x divided by x squared as x approaches infinity?
146,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you use the Mean Value Theorem to find a point where the derivative equals the average rate of change?
147,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the integral of sine squared of x using a trigonometric identity?
148,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,A car travels 60 miles per hour for 2.5 hours. How far does the car travel in total?
149,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If John has 3 apples and gives 1 to his friend, how many apples does he have left?"
150,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,A rectangle has a length of 10 cm and a width of 5 cm. What is its area?
151,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If a train travels at 80 km/h and covers 320 km, how long did the journey take?"
152,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"Sarah has $50. If she buys 5 pencils for $3 each, how much money does she have left?"
153,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"A swimming pool can be filled by a pipe in 4 hours, but drained by another pipe in 6 hours. How long will it take to fill the pool if both pipes are open?"
154,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If a car uses 8 liters of fuel to travel 100 km, how many liters are needed to travel 250 km?"
155,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,A baker makes 120 cupcakes in 3 hours. How many cupcakes can the baker make in 8 hours?
156,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If the price of a jacket is $120 and there’s a 15% discount, what is the discounted price?"
157,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,Tom has $400. He wants to buy a video game console for $350 and a game for $60. Does he have enough money?
158,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,A tree grows 15 inches per year. How tall will the tree be after 7 years if it’s currently 4 feet tall?
159,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,A cyclist travels 45 miles in 3 hours. What is the cyclist's average speed?
